no,name,mountain,prefecture,lat,lon
1,安達太良神社,安達太良山,福島県,37.5212,140.4043
2,那須温泉神社,那須岳,栃木県,37.0983,139.9986
3,日光二荒山神社,男体山,栃木県,36.7583,139.5967
4,谷川郷富士浅間神社,谷川岳,群馬県,36.7922,138.9549
5,赤城神社,赤城山,群馬県,36.5508,139.1822
6,筑波山神社,筑波山,茨城県,36.2136,140.1067
7,三峯神社,雲取山,埼玉県,35.9261,138.9300
8,両神山神社,両神山,埼玉県,36.0207,138.8452
9,富士山本宮浅間大社,富士山,静岡県,35.2267,138.6106
10,金櫻神社,金峰山,山梨県,35.7721,138.5539
11,諏訪大社（上社本宮）,霧ヶ峰,長野県,35.9986,138.1250
12,穂高神社,穂高岳,長野県,36.3392,137.8842
13,御嶽神社,木曽御嶽山,長野県,35.8193,137.6770
14,雄山神社,立山,富山県,36.5872,137.3916
15,白山比咩神社,白山,石川県,36.4383,136.6358
16,吉野水分神社,大峰山,奈良県,34.3544,135.8729
17,玉置神社,大峰山,奈良県,33.9251,135.8299
18,大神山神社,大山,鳥取県,35.3888,133.5386
