no,name,prefecture,metal,lat,lon,note
1,大和水銀鉱山,奈良県,Hg,34.47761888565999,135.97360044925455,万葉集巻7-1376・3世紀末
2,丹生鉱山,三重県,Hg,34.47050050469366,136.49760725658354,縄文時代
3,半田銀山,福島県,Ag,37.88519829781429,140.5061430479298,1600年前後
4,西三川砂金山,新潟県,Au,37.91017586885896,138.32509642930316,平安時代以前
5,間瀬銅山,新潟県,Cu,37.73390780394056,138.81393348490533,元禄年間
6,新穂銀山,新潟県,Ag,38.00403558126164,138.44607930588026,戦国時代以前・露頭
7,石見銀山,島根県,Ag,35.1090,132.4400,1309年・露頭
8,黒川金山,山梨県,Au,35.79021788191398,138.84681743245565,明応7年（1498年）
9,足尾銅山,栃木県,Cu,36.6330,139.4400,慶長15年（1610年）
10,日立鉱山,茨城県,Cu,36.63168717283222,140.60021499872778,1592年
11,金山鉱山,埼玉県,Cu,36.04231385193921,139.11605607990322,708年（和銅元年）
12,砥沢金山,群馬県,Ag,36.155576940212015,138.6755482052545,戦国時代
13,神岡鉱山,岐阜県,Ag/Pb/Zn,36.3380,137.3110,奈良時代養老年間
14,金生山,岐阜県,Fe,35.3945940571343,136.57807490329762,弥生期
15,多田銀銅山,兵庫県,Ag/Cu,34.8950,135.3510,長暦元年（1037年）
16,明延鉱山,兵庫県,Sn/Cu,35.27104177473672,134.66685511964383,平安時代初期
17,中瀬金山,兵庫県,Au/Sb,35.36628360837695,134.62467651077975,天正元年（1573年）
18,河守鉱山,京都府,Cu,35.45869216022194,135.1400991837898,1917年・露頭
19,竹野鉱山,兵庫県,Au,35.61783166481763,134.7399081977852,8世紀
20,生野銀山,兵庫県,Ag,35.1700,134.8200,大同2年（807年）
21,播磨鉄産地,兵庫県,Fe,35.15971659367323,134.44745094671708,播磨風土記
22,吉野/片掛銀山,富山県,Ag,36.50131170584756,137.23542536041688,天正元年
23,亀谷銀山,富山県,Ag,36.54365662671738,137.4382738845752,天正6年
24,宝達金山,石川県,Ag,36.787152200137434,136.8147196782798,天正12年
25,荒金鉱山,鳥取県,Cu,35.52275653669111,134.35991520768903,698年
26,吉岡銅山,岡山県,Cu,34.86495683653598,133.45532421095928,807年
27,長登銅山,山口県,Cu,34.242630780626286,131.33976823713095,7世紀末〜8世紀初
